iter	Passed	Remaining
0	20	4152
1	40	3975
2	59	3908
3	79	3876
4	97	3800
5	116	3752
6	137	3780
7	157	3773
8	180	3837
9	201	3819
10	220	3785
11	240	3763
12	261	3759
13	281	3739
14	303	3744
15	325	3738
16	345	3715
17	366	3707
18	386	3685
19	406	3660
20	426	3638
21	446	3608
22	466	3593
23	485	3563
24	509	3564
25	530	3551
26	554	3551
27	573	3522
28	596	3514
29	615	3489
30	636	3470
31	655	3440
32	675	3417
33	692	3383
34	711	3353
35	734	3345
36	754	3322
37	774	3301
38	792	3272
39	812	3249
40	835	3238
41	854	3216
42	877	3205
43	898	3186
44	918	3164
45	938	3143
46	962	3133
47	975	3090
48	999	3078
49	1020	3062
50	1037	3031
51	1058	3013
52	1081	3000
53	1101	2978
54	1120	2952
55	1140	2931
56	1161	2913
57	1180	2889
58	1198	2864
59	1217	2840
60	1236	2818
61	1258	2800
62	1279	2782
63	1302	2767
64	1320	2742
65	1342	2725
66	1363	2706
67	1384	2687
68	1402	2662
69	1421	2640
70	1440	2617
71	1460	2596
72	1477	2570
73	1497	2549
74	1517	2529
75	1534	2503
76	1555	2485
77	1576	2466
78	1597	2446
79	1617	2426
80	1637	2405
81	1656	2384
82	1676	2362
83	1693	2338
84	1715	2321
85	1736	2302
86	1753	2278
87	1772	2255
88	1789	2231
89	1807	2209
90	1827	2188
91	1848	2170
92	1864	2145
93	1885	2125
94	1902	2103
95	1924	2084
96	1944	2064
97	1963	2043
98	1979	2019
99	1998	1998
100	2016	1976
101	2037	1957
102	2055	1936
103	2072	1912
104	2091	1892
105	2111	1872
106	2129	1851
107	2148	1830
108	2169	1811
109	2188	1790
110	2207	1769
111	2226	1749
112	2243	1726
113	2262	1706
114	2281	1686
115	2300	1665
116	2321	1647
117	2337	1624
118	2353	1601
119	2372	1581
120	2390	1560
121	2407	1538
122	2425	1518
123	2444	1498
124	2461	1476
125	2479	1456
126	2499	1436
127	2520	1417
128	2541	1398
129	2558	1377
130	2575	1356
131	2595	1337
132	2613	1316
133	2631	1296
134	2652	1276
135	2671	1257
136	2692	1238
137	2712	1218
138	2735	1200
139	2754	1180
140	2770	1159
141	2789	1139
142	2808	1119
143	2825	1098
144	2842	1078
145	2861	1058
146	2881	1038
147	2899	1018
148	2915	998
149	2936	978
150	2952	958
151	2973	938
152	2990	918
153	3010	899
154	3028	879
155	3048	859
156	3068	840
157	3086	820
158	3103	800
159	3120	780
160	3137	759
161	3157	740
162	3175	720
163	3193	700
164	3209	680
165	3229	661
166	3247	641
167	3268	622
168	3286	602
169	3305	583
170	3328	564
171	3348	545
172	3366	525
173	3389	506
174	3407	486
175	3428	467
176	3447	447
177	3467	428
178	3488	409
179	3507	389
180	3524	369
181	3540	350
182	3557	330
183	3577	311
184	3596	291
185	3623	272
186	3651	253
187	3675	234
188	3694	215
189	3724	196
190	3744	176
191	3762	156
192	3780	137
193	3799	117
194	3819	97
195	3840	78
196	3859	58
197	3878	39
198	3900	19
199	3918	0
