Model,Accuracy,Precision,Recall,F1,F2,Balanced_Acc,ROC_AUC,PR_AUC,Brier,model,MAE,MSE,RMSE,R2,tuning_time_s
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_Stratified,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_Stratified,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_Stratified,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_MostFrequent,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Dummy_Stratified,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Random_Forest,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Extra_Trees,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
XGBoost,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,5.822894943996459e-10,,,,,,
Dummy_MostFrequent,0.35276,0.0,0.0,0.0,0.0,0.5,,,,,,,,,
Dummy_Stratified,0.4872,0.6512192927202376,0.4472529509919041,0.5302996995676705,0.4771417645740206,0.5038736690553125,0.5038736690553125,0.6490197504119869,0.5128,,,,,,
