Column Name,Data Type,Non-Null Count,Missing Count,Missing %,Unique Values,Sample Value
YEAR,object,9312671,0,0.00%,3,2015
MONTH,object,9312671,0,0.00%,26,1
DAY,object,9312671,0,0.00%,64,1
DAY_OF_WEEK,object,9312671,0,0.00%,15,4
TRAIN_OPERATOR,object,9311672,999,0.01%,45,AA
TRAIN_NUMBER,object,9312671,0,0.00%,10502,2336
COACH_ID,object,9289272,23399,0.25%,4896,N3KUAA
SOURCE_STATION,object,9312671,0,0.00%,936,LAX
DESTINATION_STATION,object,9311671,1000,0.01%,936,PBI
SCHEDULED_DEPARTURE,object,9312671,0,0.00%,2634,10
ACTUAL_DEPARTURE,object,9174857,137814,1.48%,2586,2.0
DELAY_DEPARTURE,object,9172902,139769,1.50%,2504,-8.0
PLATFORM_TIME_OUT,object,9170153,142518,1.53%,267,12.0
TRAIN_DEPARTURE_EVENT,object,9170153,142518,1.53%,2594,14.0
SCHEDULED_TIME,object,9312661,10,0.00%,924,280
ELAPSED_TIME,object,9144523,168148,1.81%,1086,279.0
RUN_TIME,object,9144529,168142,1.81%,1033,263.0
DISTANCE_KM,object,9312671,0,0.00%,2427,2330
LEFT_SOURCE_STATION_TIME,object,9164681,147990,1.59%,2660,737.0
PLATFORM_TIME_IN,object,9164681,147990,1.59%,233,4.0
SCHEDULED_ARRIVAL,object,9312671,0,0.00%,2570,750
ACTUAL_ARRIVAL,object,9164686,147985,1.59%,2658,741.0
DELAY_ARRIVAL,object,9144555,168116,1.81%,2367,-9.0
DIVERTED,object,9312671,0,0.00%,5,0
CANCELLED,object,9312671,0,0.00%,7,0
CANCELLATION_REASON,object,143823,9168848,98.46%,5,A
SYSTEM_DELAY,object,1702489,7610182,81.72%,637,43.0
SECURITY_DELAY,object,1702489,7610182,81.72%,154,0.0
TRAIN_OPERATOR_DELAY,object,1702489,7610182,81.72%,1150,0.0
LATE_TRAIN_DELAY,object,1702489,7610182,81.72%,811,0.0
WEATHER_DELAY,object,1702489,7610182,81.72%,643,0.0
